Datetime,BarTrend,Barometer,TempIn,HumIn,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,UV,SolarRad,RainStorm,StormStartDate,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,BatteryStatus,BatteryVolts,ForecastIcon,ForecastRuleNo,SunRise,SunSet,DatetimeWS,place
2025-02-10T00:00:02Z,0,30.221,69.4,43,50.9,0,0,269,67,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.0,0.64,2.25,0,1.341796875,6,9,08:03,18:31,2025-02-10 00:00:02.244653,Centro Direzionale
2025-02-10T00:00:12Z,0,30.221,69.4,43,50.9,0,0,269,67,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.0,0.64,2.25,0,1.341796875,6,9,08:03,18:31,2025-02-10 00:00:12.797657,Centro Direzionale
2025-02-10T00:00:23Z,0,30.221,69.4,43,50.9,0,0,269,67,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.0,0.64,2.25,0,1.341796875,6,9,08:03,18:31,2025-02-10 00:00:23.352652,Centro Direzionale
2025-02-10T00:00:34Z,0,30.221,69.4,43,50.9,0,0,269,67,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.341796875,6,9,08:03,18:31,2025-02-10 00:00:33.906654,Centro Direzionale
2025-02-10T00:00:44Z,0,30.222,69.4,43,50.9,0,0,269,67,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,2.07421875,6,9,08:03,18:31,2025-02-10 00:00:44.459651,Centro Direzionale
2025-02-10T00:00:55Z,0,30.222,69.4,43,50.9,0,0,269,67,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,2.07421875,6,9,08:03,18:31,2025-02-10 00:00:55.012661,Centro Direzionale
2025-02-10T00:01:05Z,0,30.222,69.4,43,50.9,0,0,269,67,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,2.07421875,6,9,08:03,18:31,2025-02-10 00:01:05.567653,Centro Direzionale
2025-02-10T00:01:16Z,0,30.222,69.4,43,50.9,3,0,13,67,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,2.07421875,6,9,08:03,18:31,2025-02-10 00:01:16.120658,Centro Direzionale
2025-02-10T00:01:26Z,0,30.222,69.4,43,50.9,1,0,12,67,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,2.07421875,6,9,08:03,18:31,2025-02-10 00:01:26.673655,Centro Direzionale
2025-02-10T00:01:37Z,0,30.221,69.4,43,50.9,2,0,12,67,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.3828125,6,9,08:03,18:31,2025-02-10 00:01:37.228652,Centro Direzionale
2025-02-10T00:01:47Z,0,30.221,69.4,43,50.9,2,0,14,67,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.3828125,6,9,08:03,18:31,2025-02-10 00:01:47.775677,Centro Direzionale
2025-02-10T00:01:58Z,0,30.221,69.4,43,50.9,1,0,14,67,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.3828125,6,9,08:03,18:31,2025-02-10 00:01:58.328668,Centro Direzionale
2025-02-10T00:02:09Z,0,30.221,69.4,43,50.9,1,0,5,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.3828125,6,9,08:03,18:31,2025-02-10 00:02:09.010661,Centro Direzionale
2025-02-10T00:02:19Z,0,30.221,69.4,43,50.9,2,0,5,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.3828125,6,9,08:03,18:31,2025-02-10 00:02:19.563674,Centro Direzionale
2025-02-10T00:02:30Z,0,30.221,69.4,43,50.9,2,0,9,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.3828125,6,9,08:03,18:31,2025-02-10 00:02:30.116655,Centro Direzionale
2025-02-10T00:02:40Z,0,30.22,69.4,43,50.9,3,0,14,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.341796875,6,9,08:03,18:31,2025-02-10 00:02:40.670654,Centro Direzionale
2025-02-10T00:02:51Z,0,30.22,69.4,43,50.9,3,0,17,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.341796875,6,9,08:03,18:31,2025-02-10 00:02:51.225673,Centro Direzionale
2025-02-10T00:03:01Z,0,30.22,69.4,43,50.9,3,0,27,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.341796875,6,9,08:03,18:31,2025-02-10 00:03:01.778662,Centro Direzionale
2025-02-10T00:03:12Z,0,30.22,69.4,43,50.9,1,0,27,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.341796875,6,9,08:03,18:31,2025-02-10 00:03:12.333651,Centro Direzionale
2025-02-10T00:03:23Z,0,30.22,69.4,43,50.9,0,0,27,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.341796875,6,9,08:03,18:31,2025-02-10 00:03:22.887655,Centro Direzionale
2025-02-10T00:03:33Z,0,30.22,69.4,43,50.9,1,1,27,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.341796875,6,9,08:03,18:31,2025-02-10 00:03:33.451652,Centro Direzionale
2025-02-10T00:03:44Z,0,30.22,69.4,43,50.9,2,1,29,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.740234375,6,9,08:03,18:31,2025-02-10 00:03:44.005663,Centro Direzionale
2025-02-10T00:03:54Z,0,30.22,69.4,43,50.9,2,1,28,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.740234375,6,9,08:03,18:31,2025-02-10 00:03:54.560651,Centro Direzionale
2025-02-10T00:04:05Z,0,30.22,69.4,43,50.9,2,1,28,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.740234375,6,9,08:03,18:31,2025-02-10 00:04:05.115650,Centro Direzionale
2025-02-10T00:04:15Z,0,30.22,69.4,43,50.9,0,1,27,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.740234375,6,9,08:03,18:31,2025-02-10 00:04:15.670655,Centro Direzionale
2025-02-10T00:04:26Z,0,30.22,69.4,43,50.9,1,1,27,66,0.0,0,0,0.0,2127-15-31,0.0,0.07,3.78,0.001,0.64,2.25,0,1.740234375,6,9,08:03,18:31,2025-02-10 00:04:26.225652,Centro Direzionale
