Datetime,BarTrend,Barometer,TempIn,HumIn,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,UV,SolarRad,RainStorm,StormStartDate,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,BatteryStatus,BatteryVolts,ForecastIcon,ForecastRuleNo,SunRise,SunSet,DatetimeWS,place,hum,pm_10_3_hour,pm_10_24_hour,pm_2p5_1_hour,aqi_nowcast_val,heat_index,pm_2p5_nowcast,pm_2p5_24_hour,pm_1,aqi_val,temp,pm_2p5_3_hour,aqi_1_hour_val,pm_10_nowcast,pm_10_1_hour,dew_point,pm_10,pm_2p5,wet_bulb
2025-11-15T00:00:04Z,236,30.1,71.7,53,54.4,4,3,17,86,0.0,0,0,0.0,2127-15-31,0.0,2.05,8.67,0.0,0.99,11.59,0,1.447265625,6,44,07:50,17:44,2025-11-15 00:00:04.284755,Centro Direzionale,80.9,91.188896,64.36778,104.10829,61.89103,56.8,87.27298,57.357605,71.661766,71.02118,57.1,83.60496,69.97198,95.19941,112.53335,51.3,113.19118,106.29412,53.5
2025-11-15T00:00:15Z,236,30.1,71.7,53,54.5,2,3,17,85,0.0,0,0,0.0,2127-15-31,0.0,2.05,8.67,0.0,0.99,11.59,0,1.447265625,6,44,07:50,17:44,2025-11-15 00:00:14.835760,Centro Direzionale,80.9,91.188896,64.36778,104.10829,61.89103,56.8,87.27298,57.357605,71.661766,71.02118,57.1,83.60496,69.97198,95.19941,112.53335,51.3,113.19118,106.29412,53.5
2025-11-15T00:00:25Z,236,30.1,71.7,53,54.5,1,3,18,85,0.0,0,0,0.0,2127-15-31,0.0,2.05,8.67,0.0,0.99,11.59,0,1.447265625,6,44,07:50,17:44,2025-11-15 00:00:25.390754,Centro Direzionale,80.9,91.188896,64.36778,104.10829,61.89103,56.8,87.27298,57.357605,71.661766,71.02118,57.1,83.60496,69.97198,95.19941,112.53335,51.3,113.19118,106.29412,53.5
2025-11-15T00:00:36Z,236,30.1,71.7,53,54.5,1,3,17,85,0.0,0,0,0.0,2127-15-31,0.0,2.05,8.67,0.001,0.99,11.59,0,1.857421875,6,44,07:50,17:44,2025-11-15 00:00:36.201755,Centro Direzionale,80.9,91.188896,64.36778,104.10829,61.89103,56.8,87.27298,57.357605,71.661766,71.02118,57.1,83.60496,69.97198,95.19941,112.53335,51.3,113.19118,106.29412,53.5
2025-11-15T00:00:46Z,236,30.1,71.7,53,54.5,1,3,18,85,0.0,0,0,0.0,2127-15-31,0.0,2.05,8.67,0.001,0.99,11.59,0,1.857421875,6,44,07:50,17:44,2025-11-15 00:00:46.746757,Centro Direzionale,80.9,91.188896,64.36778,104.10829,61.89103,56.8,87.27298,57.357605,71.661766,71.02118,57.1,83.60496,69.97198,95.19941,112.53335,51.3,113.19118,106.29412,53.5
2025-11-15T00:00:57Z,236,30.1,71.7,53,54.5,2,3,18,85,0.0,0,0,0.0,2127-15-31,0.0,2.05,8.67,0.001,0.99,11.59,0,1.857421875,6,44,07:50,17:44,2025-11-15 00:00:57.301755,Centro Direzionale,80.9,91.188896,64.36778,104.10829,61.89103,56.8,87.27298,57.357605,71.661766,71.02118,57.1,83.60496,69.97198,95.19941,112.53335,51.3,113.19118,106.29412,53.5
2025-11-15T00:01:08Z,236,30.1,71.7,53,54.4,2,3,18,85,0.0,0,0,0.0,2127-15-31,0.0,2.05,8.67,0.001,0.99,11.59,0,1.857421875,6,44,07:50,17:44,2025-11-15 00:01:07.854749,Centro Direzionale,80.9,91.188896,64.36778,104.10829,61.89103,56.8,87.27298,57.357605,71.661766,71.02118,57.1,83.60496,69.97198,95.19941,112.53335,51.3,113.19118,106.29412,53.5
2025-11-15T00:01:18Z,236,30.1,71.7,53,54.5,1,3,18,85,0.0,0,0,0.0,2127-15-31,0.0,2.05,8.67,0.001,0.99,11.59,0,1.857421875,6,44,07:50,17:44,2025-11-15 00:01:18.404761,Centro Direzionale,80.9,91.188896,64.36778,104.10829,61.89103,56.8,87.27298,57.357605,71.661766,71.02118,57.1,83.60496,69.97198,95.19941,112.53335,51.3,113.19118,106.29412,53.5
2025-11-15T00:01:29Z,236,30.1,71.7,53,54.4,1,3,18,85,0.0,0,0,0.0,2127-15-31,0.0,2.05,8.67,0.001,0.99,11.59,0,1.857421875,6,44,07:50,17:44,2025-11-15 00:01:28.959755,Centro Direzionale,80.9,91.188896,64.36778,104.10829,61.89103,56.8,87.27298,57.357605,71.661766,71.02118,57.1,83.60496,69.97198,95.19941,112.53335,51.3,113.19118,106.29412,53.5
2025-11-15T00:01:39Z,236,30.101,71.7,53,54.5,1,3,18,85,0.0,0,0,0.0,2127-15-31,0.0,2.05,8.67,0.001,0.99,11.59,0,1.453125,6,44,07:50,17:44,2025-11-15 00:01:39.489529,Centro Direzionale,80.9,91.188896,64.36778,104.10829,61.89103,56.8,87.27298,57.357605,71.661766,71.02118,57.1,83.60496,69.97198,95.19941,112.53335,51.3,113.19118,106.29412,53.5
