Datetime,BarTrend,Barometer,TempIn,HumIn,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,UV,SolarRad,RainStorm,StormStartDate,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,BatteryStatus,BatteryVolts,ForecastIcon,ForecastRuleNo,SunRise,SunSet,DatetimeWS,place
2025-01-31T00:00:00Z,20,30.208,69.4,48,48.7,4,4,17,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.0,1.56,1.56,0,1.37109375,6,9,08:14,18:19,2025-01-31 00:00:00.305543,Centro Direzionale
2025-01-31T00:00:11Z,20,30.208,69.4,48,48.7,5,4,11,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.0,1.56,1.56,0,1.37109375,6,9,08:14,18:19,2025-01-31 00:00:10.893537,Centro Direzionale
2025-01-31T00:00:21Z,20,30.208,69.4,48,48.8,4,4,5,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.0,1.56,1.56,0,1.37109375,6,9,08:14,18:19,2025-01-31 00:00:21.448537,Centro Direzionale
2025-01-31T00:00:32Z,20,30.208,69.4,48,48.8,3,4,9,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.0,1.56,1.56,0,1.37109375,6,9,08:14,18:19,2025-01-31 00:00:32.003537,Centro Direzionale
2025-01-31T00:00:42Z,0,30.21,69.4,48,48.8,3,4,12,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.001,1.56,1.56,0,1.775390625,6,44,08:14,18:19,2025-01-31 00:00:42.557552,Centro Direzionale
2025-01-31T00:00:53Z,0,30.21,69.4,48,48.9,4,4,5,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.001,1.56,1.56,0,1.775390625,6,44,08:14,18:19,2025-01-31 00:00:53.112540,Centro Direzionale
2025-01-31T00:01:03Z,0,30.21,69.4,48,48.9,4,4,10,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.001,1.56,1.56,0,1.775390625,6,44,08:14,18:19,2025-01-31 00:01:03.666541,Centro Direzionale
2025-01-31T00:01:14Z,0,30.21,69.4,48,48.9,3,4,5,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.001,1.56,1.56,0,1.775390625,6,44,08:14,18:19,2025-01-31 00:01:14.219547,Centro Direzionale
2025-01-31T00:01:24Z,0,30.21,69.4,48,48.9,4,4,10,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.001,1.56,1.56,0,1.775390625,6,44,08:14,18:19,2025-01-31 00:01:24.773545,Centro Direzionale
2025-01-31T00:01:35Z,0,30.21,69.4,48,49.0,2,4,11,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.001,1.56,1.56,0,1.37109375,6,44,08:14,18:19,2025-01-31 00:01:35.326536,Centro Direzionale
2025-01-31T00:01:46Z,0,30.21,69.4,48,49.0,3,4,12,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.001,1.56,1.56,0,1.37109375,6,44,08:14,18:19,2025-01-31 00:01:45.879528,Centro Direzionale
2025-01-31T00:01:56Z,0,30.21,69.4,48,49.0,4,4,13,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.001,1.56,1.56,0,1.37109375,6,44,08:14,18:19,2025-01-31 00:01:56.432536,Centro Direzionale
2025-01-31T00:02:07Z,0,30.21,69.4,48,49.0,4,4,14,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.001,1.56,1.56,0,1.37109375,6,44,08:14,18:19,2025-01-31 00:02:06.985539,Centro Direzionale
2025-01-31T00:02:17Z,0,30.21,69.4,48,49.0,3,4,14,85,0.0,0,0,0.0,2127-15-31,0.0,3.71,3.71,0.001,1.56,1.56,0,1.37109375,6,44,08:14,18:19,2025-01-31 00:02:17.540531,Centro Direzionale
