Barometer,TempIn,HumIn,TempOut,WindSpeed,HumOut,RainRate,Datetime,station_id
30.062,60.0,54.0,53.7,6.0,73.0,0.14,2025-01-18 19:06:36+00:00,3
30.062,60.0,54.0,53.6,2.0,74.0,0.14,2025-01-18 19:06:47+00:00,3
30.062,60.0,54.0,53.5,6.0,74.0,0.14,2025-01-18 19:06:58+00:00,3
30.062,60.0,54.0,53.5,2.0,74.0,0.14,2025-01-18 19:07:09+00:00,3
30.062,60.0,54.0,53.5,9.0,74.0,0.14,2025-01-18 19:07:20+00:00,3
30.062,60.0,54.0,53.5,10.0,74.0,0.14,2025-01-18 19:07:31+00:00,3
30.064,59.9,54.0,53.5,15.0,75.0,0.14,2025-01-18 19:07:43+00:00,3
30.064,59.9,54.0,53.4,12.0,75.0,0.14,2025-01-18 19:07:54+00:00,3
30.064,59.9,54.0,53.3,9.0,75.0,0.14,2025-01-18 19:08:05+00:00,3
30.064,59.9,54.0,53.4,5.0,75.0,0.14,2025-01-18 19:08:16+00:00,3
30.064,59.9,54.0,53.3,10.0,75.0,0.14,2025-01-18 19:08:27+00:00,3
30.064,60.0,54.0,53.3,2.0,75.0,0.14,2025-01-18 19:08:38+00:00,3
30.064,60.0,54.0,53.3,3.0,75.0,0.14,2025-01-18 19:08:49+00:00,3
30.064,60.0,54.0,53.3,4.0,75.0,0.14,2025-01-18 19:09:00+00:00,3
30.064,60.0,54.0,53.3,5.0,75.0,0.14,2025-01-18 19:09:11+00:00,3
30.064,60.0,54.0,53.3,5.0,75.0,0.14,2025-01-18 19:09:22+00:00,3
30.064,60.0,54.0,53.3,3.0,75.0,0.14,2025-01-18 19:09:33+00:00,3
30.061,60.0,54.0,53.3,5.0,75.0,0.14,2025-01-18 19:09:45+00:00,3
30.061,60.0,54.0,53.3,9.0,75.0,0.14,2025-01-18 19:09:56+00:00,3
30.061,60.0,54.0,53.3,6.0,75.0,0.14,2025-01-18 19:10:07+00:00,3
30.061,60.0,54.0,53.2,13.0,75.0,0.14,2025-01-18 19:10:18+00:00,3
30.061,60.0,54.0,53.3,5.0,75.0,0.14,2025-01-18 19:10:29+00:00,3
30.062,60.0,54.0,53.3,15.0,75.0,0.14,2025-01-18 19:10:40+00:00,3
30.062,60.0,54.0,53.3,8.0,75.0,0.13,2025-01-18 19:10:51+00:00,3
30.062,60.0,54.0,53.2,4.0,75.0,0.13,2025-01-18 19:11:02+00:00,3
30.062,60.0,54.0,53.2,4.0,75.0,0.12,2025-01-18 19:11:13+00:00,3
30.062,60.0,54.0,53.3,10.0,75.0,0.12,2025-01-18 19:11:24+00:00,3
30.065,60.0,54.0,53.2,14.0,75.0,0.12,2025-01-18 19:11:35+00:00,3
30.065,60.0,54.0,53.2,5.0,75.0,0.11,2025-01-18 19:11:46+00:00,3
30.065,60.0,54.0,53.3,11.0,75.0,0.11,2025-01-18 19:11:58+00:00,3
30.065,60.0,54.0,53.2,5.0,75.0,0.11,2025-01-18 19:12:09+00:00,3
30.065,60.0,54.0,53.2,6.0,75.0,0.1,2025-01-18 19:12:20+00:00,3
30.065,60.0,54.0,53.2,10.0,75.0,0.1,2025-01-18 19:12:31+00:00,3
30.064,60.0,54.0,53.2,8.0,75.0,0.1,2025-01-18 19:12:42+00:00,3
30.064,60.0,54.0,53.1,11.0,76.0,0.09,2025-01-18 19:12:53+00:00,3
30.064,60.0,54.0,53.1,4.0,76.0,0.09,2025-01-18 19:13:04+00:00,3
30.064,60.0,54.0,53.1,3.0,76.0,0.09,2025-01-18 19:13:15+00:00,3
30.064,60.0,54.0,53.0,12.0,76.0,0.09,2025-01-18 19:13:26+00:00,3
30.062,60.0,54.0,53.0,9.0,76.0,0.09,2025-01-18 19:13:37+00:00,3
